epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.1873,1.33047,0.77876,1,1.30615,0.00019278,0.00019278,0.00019278
2,40.4825,0.52328,0.89381,1,1.06274,0.000390756,0.000390756,0.000390756
3,46.9579,0.43285,0.89381,1,1.06079,0.000586753,0.000586753,0.000586753
4,56.0665,0.2772,0.9115,1,1.04248,0.000703397,0.000703397,0.000703397
5,63.5956,0.37453,0.89381,1,1.03809,0.000699863,0.000699863,0.000699863
6,71.1496,0.34875,0.87611,1,1.06165,0.000696328,0.000696328,0.000696328
7,79.977,0.26284,0.79646,1,1.12451,0.000692794,0.000692794,0.000692794
8,86.459,0.25478,0.84956,1,1.06592,0.00068926,0.00068926,0.00068926
9,96.2809,0.26648,0.85841,1,1.06177,0.000685726,0.000685726,0.000685726
10,102.706,0.20545,0.89381,1,1.03589,0.000682191,0.000682191,0.000682191
11,112.396,0.27933,0.88496,1,1.03247,0.000678657,0.000678657,0.000678657
12,118.862,0.24425,0.88496,1,1.03979,0.000675123,0.000675123,0.000675123
13,127.375,0.22417,0.89381,1,1.0199,0.000671588,0.000671588,0.000671588
14,135.382,0.22271,0.89381,1,1.00769,0.000668054,0.000668054,0.000668054
15,142.356,0.24108,0.82301,1,1.07947,0.00066452,0.00066452,0.00066452
16,151.899,0.27272,0.89381,1,1.02844,0.000660986,0.000660986,0.000660986
17,158.266,0.20627,0.83186,1,1.05701,0.000657451,0.000657451,0.000657451
18,168.014,0.27274,0.84956,1,1.07532,0.000653917,0.000653917,0.000653917
19,174.473,0.17361,0.86726,1,1.0459,0.000650383,0.000650383,0.000650383
20,183.085,0.21096,0.85841,1,1.03467,0.000646848,0.000646848,0.000646848
21,192.43,0.17009,0.89381,1,1.01843,0.000643314,0.000643314,0.000643314
22,203.985,0.1986,0.89381,1,1.06152,0.00063978,0.00063978,0.00063978
23,211.119,0.21755,0.89381,1,1.03625,0.000636245,0.000636245,0.000636245
24,219.582,0.17425,0.90265,1,1.00244,0.000632711,0.000632711,0.000632711
25,227.189,0.11283,0.89381,1,1.02612,0.000629177,0.000629177,0.000629177
26,234.709,0.20209,0.86726,1,1.06128,0.000625642,0.000625642,0.000625642
27,243.511,0.18235,0.89381,1,1.0459,0.000622108,0.000622108,0.000622108
28,250.175,0.13803,0.88496,1,1.02625,0.000618574,0.000618574,0.000618574
29,259.909,0.11123,0.89381,1,1.01843,0.00061504,0.00061504,0.00061504
30,266.344,0.16241,0.90265,1,1.00659,0.000611505,0.000611505,0.000611505
31,275.907,0.13245,0.84071,1,1.05591,0.000607971,0.000607971,0.000607971
32,283.153,0.18082,0.90265,1,1.01453,0.000604437,0.000604437,0.000604437
33,290.64,0.11366,0.92035,1,1.00391,0.000600902,0.000600902,0.000600902
34,299.237,0.13449,0.88496,1,1.04358,0.000597368,0.000597368,0.000597368
35,305.826,0.13175,0.88496,1,1.02759,0.000593834,0.000593834,0.000593834
36,315.467,0.08947,0.9115,1,1.01233,0.0005903,0.0005903,0.0005903
37,321.753,0.09826,0.87611,1,1.01147,0.000586765,0.000586765,0.000586765
38,331.753,0.1141,0.89381,1,1.0116,0.000583231,0.000583231,0.000583231
39,338.207,0.14479,0.90265,1,1.0155,0.000579697,0.000579697,0.000579697
40,346.866,0.16958,0.92035,1,1.00928,0.000576162,0.000576162,0.000576162
41,354.651,0.08022,0.84956,1,1.07593,0.000572628,0.000572628,0.000572628
42,361.882,0.14342,0.84071,1,1.03967,0.000569094,0.000569094,0.000569094
43,371.441,0.13976,0.86726,1,1.05493,0.000565559,0.000565559,0.000565559
44,377.8,0.11668,0.85841,1,1.0564,0.000562025,0.000562025,0.000562025
45,387.475,0.08893,0.87611,1,1.02368,0.000558491,0.000558491,0.000558491
46,394.016,0.11587,0.84071,1,1.07129,0.000554956,0.000554956,0.000554956
47,402.797,0.13676,0.87611,1,1.04102,0.000551422,0.000551422,0.000551422
48,410.63,0.09341,0.88496,1,1.03857,0.000547888,0.000547888,0.000547888
49,417.684,0.08673,0.9292,1,0.99451,0.000544354,0.000544354,0.000544354
50,427.116,0.10915,0.9115,1,1.00452,0.000540819,0.000540819,0.000540819
51,433.661,0.10674,0.89381,1,1.03662,0.000537285,0.000537285,0.000537285
52,443.493,0.09262,0.89381,1,1.02832,0.000533751,0.000533751,0.000533751
53,450.004,0.1176,0.92035,1,1.0249,0.000530216,0.000530216,0.000530216
54,459.179,0.11379,0.86726,1,1.05786,0.000526682,0.000526682,0.000526682
55,465.524,0.06721,0.85841,1,1.03638,0.000523148,0.000523148,0.000523148
56,474.241,0.09111,0.89381,1,1.02209,0.000519613,0.000519613,0.000519613
57,481.599,0.06866,0.87611,1,1.03882,0.000516079,0.000516079,0.000516079
58,489.106,0.11383,0.89381,1,1.02527,0.000512545,0.000512545,0.000512545
59,497.777,0.14116,0.90265,1,1.01782,0.000509011,0.000509011,0.000509011
60,504.218,0.12978,0.84071,1,1.06274,0.000505476,0.000505476,0.000505476
61,513.981,0.08452,0.89381,1,1.02283,0.000501942,0.000501942,0.000501942
62,520.503,0.07953,0.88496,1,1.02197,0.000498408,0.000498408,0.000498408
63,530.247,0.11056,0.90265,1,1.01099,0.000494873,0.000494873,0.000494873
64,536.758,0.14443,0.9292,1,1.01318,0.000491339,0.000491339,0.000491339
65,545.634,0.05555,0.89381,1,1.00891,0.000487805,0.000487805,0.000487805
66,553.44,0.07083,0.93805,1,1.00256,0.000484271,0.000484271,0.000484271
67,560.799,0.05038,0.92035,1,1.00208,0.000480736,0.000480736,0.000480736
68,569.722,0.05244,0.93805,1,0.97449,0.000477202,0.000477202,0.000477202
69,576.407,0.05929,0.9115,1,0.99829,0.000473668,0.000473668,0.000473668
70,586.578,0.08646,0.9115,1,0.99829,0.000470133,0.000470133,0.000470133
71,592.981,0.03825,0.93805,1,1.00232,0.000466599,0.000466599,0.000466599
72,602.302,0.0815,0.84071,1,1.0415,0.000463065,0.000463065,0.000463065
73,609.184,0.05654,0.88496,1,1.03906,0.00045953,0.00045953,0.00045953
74,616.938,0.108,0.90265,1,0.99719,0.000455996,0.000455996,0.000455996
75,625.823,0.08832,0.86726,1,1.02148,0.000452462,0.000452462,0.000452462
76,633.69,0.07092,0.89381,1,1.03979,0.000448928,0.000448928,0.000448928
77,645.522,0.22246,0.89381,1,1.01367,0.000445393,0.000445393,0.000445393
78,652.097,0.06601,0.88496,1,1.02759,0.000441859,0.000441859,0.000441859
79,660.849,0.12265,0.86726,1,1.03601,0.000438325,0.000438325,0.000438325
80,668.093,0.07633,0.9115,1,1.005,0.00043479,0.00043479,0.00043479
81,676.127,0.0728,0.9115,1,1.00623,0.000431256,0.000431256,0.000431256
82,684.116,0.04812,0.89381,1,1.00854,0.000427722,0.000427722,0.000427722
83,691.299,0.07247,0.9115,1,0.99817,0.000424187,0.000424187,0.000424187
84,700.468,0.02492,0.9115,1,1.0011,0.000420653,0.000420653,0.000420653
85,707.276,0.03511,0.90265,1,1.00867,0.000417119,0.000417119,0.000417119
86,717.257,0.03415,0.9115,1,0.9978,0.000413584,0.000413584,0.000413584
87,723.875,0.06341,0.92035,1,1.0011,0.00041005,0.00041005,0.00041005
88,733.674,0.08459,0.9292,1,1.00952,0.000406516,0.000406516,0.000406516
89,740.259,0.0414,0.90265,1,1.0155,0.000402982,0.000402982,0.000402982
90,748.933,0.04668,0.9115,1,1.01196,0.000399447,0.000399447,0.000399447
91,755.852,0.06497,0.92035,1,1.01208,0.000395913,0.000395913,0.000395913
92,763.998,0.02756,0.89381,1,1.02734,0.000392379,0.000392379,0.000392379
93,772.233,0.0477,0.92035,1,0.98535,0.000388844,0.000388844,0.000388844
94,779.267,0.04306,0.9292,1,0.98901,0.00038531,0.00038531,0.00038531
95,789.021,0.02966,0.90265,1,1.00073,0.000381776,0.000381776,0.000381776
96,795.432,0.07267,0.92035,1,0.995,0.000378242,0.000378242,0.000378242
97,805.345,0.04228,0.93805,1,0.99036,0.000374707,0.000374707,0.000374707
98,811.905,0.04509,0.9292,1,0.98962,0.000371173,0.000371173,0.000371173
99,821.341,0.07124,0.9115,1,0.99207,0.000367639,0.000367639,0.000367639
100,828.364,0.06076,0.86726,1,1.02722,0.000364104,0.000364104,0.000364104
101,835.749,0.07139,0.86726,1,1.01208,0.00036057,0.00036057,0.00036057
102,844.748,0.04061,0.87611,1,1.02893,0.000357036,0.000357036,0.000357036
103,851.496,0.04138,0.90265,1,1.00586,0.000353501,0.000353501,0.000353501
104,861.194,0.03642,0.89381,1,1.01465,0.000349967,0.000349967,0.000349967
105,867.52,0.04211,0.89381,1,1.0249,0.000346433,0.000346433,0.000346433
106,877.134,0.02979,0.89381,1,1.01794,0.000342899,0.000342899,0.000342899
107,884.357,0.03694,0.9115,1,1.00378,0.000339364,0.000339364,0.000339364
108,892.114,0.06297,0.9115,1,1.00562,0.00033583,0.00033583,0.00033583
109,900.928,0.03927,0.89381,1,1.03601,0.000332296,0.000332296,0.000332296
110,907.363,0.075,0.9115,1,0.99878,0.000328761,0.000328761,0.000328761
111,917.244,0.04952,0.9292,1,0.99133,0.000325227,0.000325227,0.000325227
112,923.641,0.02393,0.89381,1,1.01636,0.000321693,0.000321693,0.000321693
113,933.477,0.04524,0.9115,1,1.00208,0.000318158,0.000318158,0.000318158
114,940.05,0.02564,0.89381,1,1.00818,0.000314624,0.000314624,0.000314624
115,948.611,0.04019,0.92035,1,0.99976,0.00031109,0.00031109,0.00031109
116,956.675,0.03655,0.89381,1,1.02881,0.000307555,0.000307555,0.000307555
117,963.955,0.03028,0.90265,1,1,0.000304021,0.000304021,0.000304021
